uid,base_price,special_price,ap_start_date,ap_end_date,duration,service_name,service_caption,service_group_name,service_pricing_id,created_date,updated_date,appointment_id,final_price,deleted,booking_id,extra_time
98,12,12,2025-08-02 10:35:00,2025-08-02 10:40:00,5,Eyebrows Tidy,Wax,"",184,2025-06-27 09:36:07.197345,2025-06-27 09:36:07.197345,350465,12,f,144869,
98,37,37,2025-08-02 10:15:00,2025-08-02 10:35:00,20,Brazillian,Hot Wax,"",189,2025-06-27 09:36:07.197345,2025-06-27 09:36:07.197345,350466,37,f,144869,
67,130,130,2025-08-01 11:30:00,2025-08-01 13:30:00,120,Full Leg & High Bikini,,"",1420,2025-06-27 12:01:34.173826,2025-06-27 12:01:34.173826,350553,130,f,144895,
67,50,50,2025-07-20 11:00:00,2025-07-20 12:00:00,60,Hair style From,,"",730,2025-06-28 09:18:57.749451,2025-06-28 09:18:57.749451,350785,50,f,144974,
117,100,100,2025-08-09 10:00:00,2025-08-09 13:00:00,180,Full Head Highlight (Toner Not Inc.),Medium,"",1201,2025-06-28 15:05:09.427719,2025-06-28 15:05:09.427719,350937,100,f,145038,
111,30,28,2025-07-13 15:00:00,2025-07-13 15:40:00,40,Luxury Manicure,,"",1279,2025-06-28 16:50:53.719372,2025-06-28 16:50:53.719372,350973,28,f,145051,
113,40,40,2025-07-13 14:30:00,2025-07-13 15:15:00,45,Olaplex,From,"",1225,2025-06-28 16:50:53.719372,2025-06-28 16:50:53.719372,350972,40,f,145051,
111,17,15,2025-07-13 15:40:00,2025-07-13 16:00:00,20,Eyelash Tint,,"",1149,2025-06-28 16:50:53.719372,2025-06-28 16:50:53.719372,350970,15,f,145051,
113,30,30,2025-07-13 16:00:00,2025-07-13 17:00:00,60,Wash & Blowdry,Short,"",1174,2025-06-28 16:50:53.719372,2025-06-28 16:50:53.719372,350971,30,f,145051,
104,28,28,2025-07-13 11:00:00,2025-07-13 11:50:00,50,Wash & Blow Dry,Short price,"",345,2025-06-29 10:32:48.962723,2025-06-29 10:32:48.962723,351068,28,f,145095,
98,46,46,2025-07-18 10:00:00,2025-07-18 10:50:00,50,Individual Eyelashes (3 week top up),,"",231,2025-06-30 10:09:34.669571,2025-06-30 10:09:34.669571,351286,46,f,145168,
51,10,10,2025-07-18 17:40:00,2025-07-18 17:45:00,5,Under Arms,Hot Wax,"",423,2025-06-30 14:14:54.314862,2025-06-30 14:14:54.314862,351357,10,f,145199,
