group_name,group_color,position,created_date,updated_date,company_id,service_group_id,group_image,deleted,group_description
Acrylic Nails,"00000",1,2023-09-19 11:59:19.335839,2023-09-19 11:59:19.335839,17,76,groupImage-1695726053635.jpeg,f,undefined
Laser Hair Removal For Arms And Under Arms,White,1,2024-12-06 10:17:52.035384,2024-12-06 10:17:52.035384,9,83,groupImage-1733480271912.jpeg,f,undefined
Laser Hair Removal,red,8,2024-08-14 11:18:00.23816,2024-08-14 11:18:00.23816,6,79,groupImage-1738412037683.png,f,""
Special Packages,red,1,2025-02-01 11:52:02.633194,2025-02-01 11:52:02.633194,6,87,groupImage-1738410722263.jpeg,t,"Celebrate love with our exclusive Valentine’s Day Offers! Whether it’s for your special someone or a treat for yourself, we’ve got the perfect deals to make this day unforgettable."
Gentleman,blue,1,2024-05-31 17:40:49.09624,2024-05-31 17:40:49.09624,17,77,groupImage-1717177233124.jpeg,f,undefined
Acrylic Nails,Red,1,2025-03-07 15:49:15.288616,2025-03-07 15:49:15.288616,9,91,groupImage-1741362555153.jpeg,f,undefined
s,s,1,2018-03-29 19:03:26.529014,2018-03-29 19:03:26.529014,6,3,"",t,
as,as,1,2018-03-31 17:47:18.703155,2018-03-31 17:47:18.703155,6,4,"",t,
Waxing,red,1,2018-03-21 17:54:57.930247,2018-03-21 17:54:57.930247,6,1,"",t,
sada,asd,1,2018-05-10 05:56:48.062608,2018-05-10 05:56:48.062608,6,12,"",t,
fgd,dfgdf,1,2018-05-10 05:45:26.345381,2018-05-10 05:45:26.345381,6,11,"",t,
Test,red,1,2018-05-10 05:44:56.357968,2018-05-10 05:44:56.357968,6,10,"",t,
test newaaasdasdasdsaasd,aaew,1,2018-05-10 06:09:38.61306,2018-05-10 06:09:38.61306,6,17,"",t,
test newaaasdasdasdsa,aaew,1,2018-05-10 06:08:52.434823,2018-05-10 06:08:52.434823,6,16,"",t,
Threading / Waxing,red,3,2018-04-18 16:51:40.7957,2018-04-18 16:51:40.7957,6,6,groupImage-1695728260693.jpeg,f,"Threading is the ancient method for facial hair removal, and removes any unwanted hair from the root without peeling or causing irritation to skin, Threading allows control when shaping brows to ensure perfectly sculpted eyebrows. A cotton thread is used to glide across the skin, removing excess hair while it does so. Not only that but the thread grabs and teases out every single hair by its root leaving a cleaner finish with longer lasting results. The results are wonderfully neat and perfectly symmetrical eyebrows which can take years off your face.It is a great way of defining, and enhancing your facial features and leaves longer lasting results with slower and finer hair re-growth. As it is one of the safest techniques for hair removal, it also does not damage the skin’s natural elasticity.It has been said, “Once you thread, you never go back to other methods of hair removal.” Achieving a shape that flatters and enhances your features can quickly and painlessly alter your appearance"
