service_id,name,duration_value,price,special_price,deleted,created_date,updated_time,service_pricing_id
17,2,2,2,2,f,2018-04-01 08:58:23.104879,2018-04-01 08:58:23.104879,1
18,3,3,3,3,f,2018-04-01 09:00:57.630125,2018-04-01 09:00:57.630125,2
19,333,333,333,333,f,2018-04-01 09:02:30.329242,2018-04-01 09:02:30.329242,3
19,444,444,4444,444,f,2018-04-01 09:02:30.348335,2018-04-01 09:02:30.348335,4
20,88,88,88,88,f,2018-04-01 09:04:40.995534,2018-04-01 09:04:40.995534,5
20,99,99,99,99,f,2018-04-01 09:04:41.007285,2018-04-01 09:04:41.007285,6
35,Waxing,5,2.5,2.5,f,2018-05-05 03:27:55.272985,2018-05-05 03:27:55.272985,145
41,,40,40,40,f,2018-05-05 03:40:26.655209,2018-05-05 03:40:26.655209,155
33,3,3,3,3,t,2018-05-02 17:08:38.021952,2018-05-02 17:08:38.021952,104
33,2,2,2,2,t,2018-05-02 17:07:05.412884,2018-05-02 17:07:05.412884,102
23,3,1,2,3,f,2018-04-03 19:03:37.889592,2018-04-03 19:03:37.889592,34
23,4,4,4,4,f,2018-04-03 19:03:37.897868,2018-04-03 19:03:37.897868,35
24,,99,99,80,f,2018-04-03 19:08:35.186503,2018-04-03 19:08:35.186503,36
33,1,1,1,1,t,2018-05-02 17:05:49.030505,2018-05-02 17:05:49.030505,100
33,30,30,30,30,t,2018-05-02 17:05:31.302086,2018-05-02 17:05:31.302086,97
27,,90,80,70,f,2018-04-03 19:10:40.863588,2018-04-03 19:10:40.863588,42
33,20,20,20,20,t,2018-05-02 16:40:53.326595,2018-05-02 16:40:53.326595,95
33,fff,10,10,10,t,2018-05-02 16:40:53.256936,2018-05-02 16:40:53.256936,93
33,ujuyj,10,10,10,t,2018-05-02 16:40:53.282221,2018-05-02 16:40:53.282221,94
33,fff,10,10,10,t,2018-04-21 12:10:44.312293,2018-04-21 12:10:44.312293,58
33,ujuyj,10,10,10,t,2018-04-21 12:10:44.324438,2018-04-21 12:10:44.324438,59
33,1,1,1,1,t,2018-05-02 17:07:05.384117,2018-05-02 17:07:05.384117,101
29,Short,60,60,60,f,2018-04-18 17:20:41.425334,2018-04-18 17:20:41.425334,54
29,Long,70,70,70,f,2018-04-18 17:20:41.458551,2018-04-18 17:20:41.458551,55
29,Mediam,90,90,90,f,2018-04-18 17:20:41.477429,2018-04-18 17:20:41.477429,56
33,4,4,4,4,t,2018-05-02 17:24:29.198525,2018-05-02 17:24:29.198525,107
34,30,23,33,30,t,2018-04-21 12:11:08.099222,2018-04-21 12:11:08.099222,60
34,10,10,10,10,t,2018-05-02 17:31:15.862754,2018-05-02 17:31:15.862754,109
32,,10,10,10,t,2018-04-21 12:10:19.025093,2018-04-21 12:10:19.025093,57
31,,30,10,8,f,2018-04-18 16:54:30.868461,2018-04-18 16:54:30.868461,53
30,,60,10,9,t,2018-04-18 16:53:42.32385,2018-04-18 16:53:42.32385,52
35,Threading,5,2.5,2.5,f,2018-05-05 03:27:55.288889,2018-05-05 03:27:55.288889,146
42,,40,25,25,f,2018-05-05 03:41:37.317336,2018-05-05 03:41:37.317336,156
33,4,4,4,4,t,2018-05-02 17:22:11.842817,2018-05-02 17:22:11.842817,106
33,2,2,2,2,t,2018-05-02 17:08:37.99673,2018-05-02 17:08:37.99673,103
33,20,20,20,20,t,2018-05-02 17:05:31.256188,2018-05-02 17:05:31.256188,96
33,30,30,30,30,t,2018-05-02 17:05:49.021534,2018-05-02 17:05:49.021534,98
33,20,20,20,20,t,2018-05-02 17:05:49.02602,2018-05-02 17:05:49.02602,99
33,4,4,4,4,t,2018-05-02 17:22:01.110223,2018-05-02 17:22:01.110223,105
34,20,20,20,20,t,2018-05-02 17:31:15.880604,2018-05-02 17:31:15.880604,108
36,Waxing,5,4,4,f,2018-05-05 03:29:16.495832,2018-05-05 03:29:16.495832,147
36,Threading,5,4,4,f,2018-05-05 03:29:16.51057,2018-05-05 03:29:16.51057,148
43,,15,8,8,f,2018-05-05 03:42:06.392689,2018-05-05 03:42:06.392689,157
37,Waxing,20,18,18,f,2018-05-05 03:30:31.108976,2018-05-05 03:30:31.108976,149
37,Threading,20,18,18,f,2018-05-05 03:30:31.126598,2018-05-05 03:30:31.126598,150
44,,20,15,15,f,2018-05-05 03:44:31.136466,2018-05-05 03:44:31.136466,158
