service_group_id,service_name,service_type,service_gender,pricing_type,extra_time_type,extra_time_in_seconds,book_online,description,position,service_id,updated_time,created_date,deleted,company_id
,asd,,,MULTIPLE,"",,t,,1,6,2018-04-01 05:50:51.425149,2018-04-01 05:50:51.425149,t,6
,sad,,,MULTIPLE,"",,t,,1,7,2018-04-01 05:54:53.117818,2018-04-01 05:54:53.117818,t,6
5,aaaaaaaaaaaaaaaa,,,SINGLE,"",,t,,1,21,2018-04-01 09:06:37.531907,2018-04-01 09:06:37.531907,t,6
2,asdasdassa,,,MULTIPLE,"",,t,,1,20,2018-04-01 09:04:40.92761,2018-04-01 09:04:40.92761,t,6
,swad,,,MULTIPLE,"",,t,,1,11,2018-04-01 06:13:57.291844,2018-04-01 06:13:57.291844,t,6
,THis is my second service,,,MULTIPLE,"",,t,,1,10,2018-04-01 06:10:47.270029,2018-04-01 06:10:47.270029,t,6
5,dsf,,,MULTIPLE,"",,t,,1,12,2018-04-01 08:29:03.827816,2018-04-01 08:29:03.827816,t,6
5,aa,,,MULTIPLE,"",,t,,1,13,2018-04-01 08:47:51.397565,2018-04-01 08:47:51.397565,t,6
,This is a first service,,,SINGLE,processing,10,t,,1,5,2018-03-31 19:43:13.886393,2018-03-31 19:43:13.886393,t,6
,sa,,,MULTIPLE,"",,t,,1,8,2018-04-01 05:55:35.040717,2018-04-01 05:55:35.040717,t,6
,ss,,,MULTIPLE,"",,t,,1,9,2018-04-01 06:05:02.975747,2018-04-01 06:05:02.975747,t,6
5,aasss,,,MULTIPLE,"",,t,,1,16,2018-04-01 08:56:48.155209,2018-04-01 08:56:48.155209,t,6
5,aasssaa,,,MULTIPLE,"",,t,,1,17,2018-04-01 08:58:23.056756,2018-04-01 08:58:23.056756,t,6
2,111111,,,MULTIPLE,"",,t,,1,18,2018-04-01 09:00:57.587168,2018-04-01 09:00:57.587168,t,6
5,aaaaa2,,,MULTIPLE,blocking,,t,,1,19,2018-04-01 09:02:30.264809,2018-04-01 09:02:30.264809,t,6
2,Waxing Services 1,,,SINGLE,blocking,70,t,,1,24,2018-04-01 12:06:50.088704,2018-04-01 12:06:50.088704,t,6
9,sdfgsdds,,,MULTIPLE,"",,t,,1,34,2018-04-21 12:11:08.042633,2018-04-21 12:11:08.042633,t,6
7,tst,,,SINGLE,"",,t,,1,32,2018-04-21 12:10:18.961444,2018-04-21 12:10:18.961444,t,6
